,average_episode_rewards,algo,step,scenario
3,-0.6260000169277191,ARMAPPO,1600000.0,5_vs_5
4,-0.708000035956502,ARMAPPO,2000000.0,5_vs_5
5,-0.6200000178068876,ARMAPPO,2400000.0,5_vs_5
6,-0.8739999495446682,ARMAPPO,2800000.0,5_vs_5
7,-0.7180000189691782,ARMAPPO,3200000.0,5_vs_5
8,-0.47400002367794514,ARMAPPO,3600000.0,5_vs_5
9,-0.7680000271648169,ARMAPPO,4000000.0,5_vs_5
10,-0.8280000649392605,ARMAPPO,4400000.0,5_vs_5
11,-0.8660000748932362,ARMAPPO,4800000.0,5_vs_5
12,-1.0260000824928284,ARMAPPO,5200000.0,5_vs_5
13,-0.8699999190866947,ARMAPPO,5600000.0,5_vs_5
14,-0.7840000092983246,ARMAPPO,6000000.0,5_vs_5
15,-1.1920000426471233,ARMAPPO,6400000.0,5_vs_5
16,-0.6959999911487103,ARMAPPO,6800000.0,5_vs_5
17,-0.7960000075399876,ARMAPPO,7200000.0,5_vs_5
18,-0.47400002367794514,ARMAPPO,7600000.0,5_vs_5
19,-0.71000000461936,ARMAPPO,8000000.0,5_vs_5
20,-0.3920000046491623,ARMAPPO,8400000.0,5_vs_5
21,-0.6359999999403954,ARMAPPO,8800000.0,5_vs_5
22,-0.5339999683201313,ARMAPPO,9200000.0,5_vs_5
23,-0.5499999970197678,ARMAPPO,9600000.0,5_vs_5
24,-1.0219999589025974,ARMAPPO,10000000.0,5_vs_5
25,-1.510000042617321,ARMAPPO,10400000.0,5_vs_5
26,-0.8700000122189522,ARMAPPO,10800000.0,5_vs_5
27,-0.5559999961405993,ARMAPPO,11200000.0,5_vs_5
28,-0.5540000274777412,ARMAPPO,11600000.0,5_vs_5
29,-0.6300000008195639,ARMAPPO,12000000.0,5_vs_5
30,-0.8719999343156815,ARMAPPO,12400000.0,5_vs_5
31,-0.5439999978989363,ARMAPPO,12800000.0,5_vs_5
32,-0.4600000102072954,ARMAPPO,13200000.0,5_vs_5
33,-0.6359999999403954,ARMAPPO,13600000.0,5_vs_5
34,-0.8640000596642494,ARMAPPO,14000000.0,5_vs_5
35,-0.6180000025779009,ARMAPPO,14400000.0,5_vs_5
36,-1.017999928444624,ARMAPPO,14800000.0,5_vs_5
37,-0.8679999969899654,ARMAPPO,15200000.0,5_vs_5
38,-0.6340000312775373,ARMAPPO,15600000.0,5_vs_5
39,-0.9499999694526196,ARMAPPO,16000000.0,5_vs_5
40,-0.5159999709576368,ARMAPPO,16400000.0,5_vs_5
41,-0.7059999741613865,ARMAPPO,16800000.0,5_vs_5
42,-0.35200004931539297,ARMAPPO,17200000.0,5_vs_5
43,-0.6880000233650208,ARMAPPO,17600000.0,5_vs_5
44,-1.0180000215768814,ARMAPPO,18000000.0,5_vs_5
45,-0.7099999114871025,ARMAPPO,18400000.0,5_vs_5
46,-0.7799999788403511,ARMAPPO,18800000.0,5_vs_5
47,-0.7020000368356705,ARMAPPO,19200000.0,5_vs_5
48,-0.7180000189691782,ARMAPPO,19600000.0,5_vs_5
